Date and Hour,File Worked On,Time Spent on File (seconds),App Used
2024-11-20 18:00,Документ1,0.124804,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.106627,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107478,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109928,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.10724,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.105628,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109359,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.106829,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108241,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108931,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.106343,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107571,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.10771,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.10836,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109964,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.106887,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109679,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.106534,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108646,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107769,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107894,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.259911,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.114136,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.112628,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.105952,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.110754,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109378,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.105679,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.245691,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.112133,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109297,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.10668,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108331,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.105211,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108364,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107289,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107811,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.11002,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108756,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109107,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.106257,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108552,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.110162,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108678,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.10915,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.121646,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.11245,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.105271,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109723,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107902,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108355,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108628,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.110911,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.105597,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108076,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.106878,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.10917,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108969,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.10908,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109465,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107353,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.111344,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107236,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109399,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.110925,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.10683,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108826,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109978,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107524,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.106155,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.110369,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109095,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.111484,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109298,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.10768,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.110566,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.10826,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.111243,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108811,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.110036,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108621,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.105953,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.11041,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109947,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107435,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.10546,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.110591,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108884,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.10762,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.110358,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107565,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109069,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.11032,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.10679,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.106107,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.106747,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.10652,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.123953,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.105615,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108413,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108713,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109753,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108759,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107628,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.110713,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109511,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108356,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108344,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109942,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107113,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.111139,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.106983,WINWORD.EXE,Документ1
